,table_catalog,table_schema,table_name,partition_id,last_modified_time,total_rows
1404,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_transfer_sp_wl,20220627,2022-10-13 15:08:39.694000 UTC,2
1405,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_m_fin_enterprise_revenue,202304,2023-04-18 00:10:47.931000 UTC,760
1406,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221030,,2022-10-31 23:04:34.208000 UTC,281129196
1407,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_swv_usg_det,20230415,2023-04-18 09:02:09.707000 UTC,237214
1408,cvm-cloud-dwh-prod-4383,prd_cvm_ops_tb,f_d_tnps_dpi_campaign,20230209,2023-03-06 08:58:33.095000 UTC,49597886
1409,edm-cloud-dwh-dev-0051,dev_xldf_acl_tb,f_d_finodc_rev_matrix_validation_adbal_cr,202301,2023-02-14 08:32:34.712000 UTC,224556
1410,edm-cloud-dwh-dev-0051,cvmdm_ref,dim_mccm_soccd_revshare_reference_hist,__NULL__,2022-10-12 06:48:21.264000 UTC,0
1411,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,f_d_subs_offer,,2021-11-22 20:03:42.577000 UTC,278937451
1412,edm-cloud-dwh-prod-9652,prd_temp_tb,_bqc_a9ae2884ba6c45f59aab515c8e604204,,2023-04-17 18:22:52.355000 UTC,201352
1413,datamart-cloud-dwh-prod-ca76,prd_cvmdm_acl_tb,f_d_subs_event_analytic,20230415,2023-04-18 12:42:11.480000 UTC,407353568
1414,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_usg_pre_emp_other_matrix,20230415,2023-04-17 23:02:21.208000 UTC,236
1415,edm-cloud-dwh-dev-0051,dev_xldf_acl_tb,f_m_finodc_rev_glcost_accr,202303,2023-04-10 08:52:30.927000 UTC,260
1416,edm-cloud-dwh-dev-0051,dev_xldf_acl_tb,f_m_finodc_rev_matrix_class_be,202202,2023-04-06 05:24:02.470000 UTC,91
1417,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_charged_usg_stats,20211217,2022-01-15 20:12:00.258000 UTC,2
1418,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_usg_nob_post,__NULL__,2022-01-18 15:23:26.311000 UTC,0
1419,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,cvm_nbo_ro_qrcode_cust_scan,20220926,2022-12-25 10:15:48.651000 UTC,946
1420,datamart-cloud-dwh-prod-ca76,prd_cvmdm_acl_tb,f_d_subs_post_pkt_trx,20230414,2023-04-16 09:45:38.980000 UTC,6159
1421,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221123,,2022-11-25 04:46:35.098000 UTC,285446747
1422,edm-cloud-dwh-prod-9652,prd_temp_tb,fda_mmx_mosms,,2023-01-24 04:47:26.807000 UTC,4294374
1423,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,ar1_charges_daily_bak_20220125,,2022-01-25 10:16:03.632000 UTC,16814332
1424,edm-cloud-dwh-dev-0051,dev_exc_campaign,mf_adm02_exclude_final,,2023-04-13 08:03:57.692000 UTC,0
1425,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,adn_xl_axis_dynamic_pricing_data_model_scoring_rolling_30days,20230218,2023-03-16 07:12:01.001000 UTC,77146278
1426,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_irbs_transaction_history,20230416,2023-04-17 16:21:15.035000 UTC,204
1427,edm-cloud-dwh-dev-0051,prd_xldf_stg_tb,f_d_soa_packet_kpi,20230411,2023-04-14 06:56:04.823000 UTC,9360941
1428,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,tirnab_loc_pkt_r,20191104,2023-04-09 13:54:28.207000 UTC,164
